Is Duplicate Row?-2,State Full Name,Is Duplicate Row?,VIN (1-10),County,City,Postal Code,Model Year,Vehicle Age,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Longitude,Latitude,Electric Utility,2020 Census Tract
Unique,Washington,Unique,WBAJB1C56J,King,Seattle,98115,2018,8,Bmw,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,43,205930084,-122.31765,47.70013,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002500
Unique,Washington,Unique,YV4BR0DM9J,Clark,Camas,98607,2018,8,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,14,192219114,-122.40199,45.58694,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040511
Unique,Washington,Unique,5YJSA1CN0C,Skagit,Mount Vernon,98273,2012,14,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,40,255786121,-122.33891,48.41644,PUGET SOUND ENERGY INC,53057952304
Unique,Washington,Unique,KNDJX3AE9G,King,Seattle,98125,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,46,6091053,-122.3026,47.72656,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000700
Unique,Washington,Unique,5YJSA1H24E,King,Maple Valley,98027,2014,12,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,475477733,-122.03439,47.5301,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032003
Unique,Washington,Unique,5YJRE1A1XA,Spokane,Newman Lake,99025,2010,16,Tesla,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,110950,4,169216421,-117.06882,47.7251,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010102
Unique,Washington,Unique,WBAJB1C55K,King,Bellevue,98006,2019,7,Bmw,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,41,320402344,-122.12096,47.55584,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905
Unique,Washington,Unique,WBA7J2C59J,King,Kirkland,98034,2018,8,Bmw,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,90700,1,336106347,-122.22901,47.72201,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
Unique,Washington,Unique,2C4RC1N75K,King,Kent,98031,2019,7,Chrysler,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,33,310721295,-122.17743,47.41185,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029702
Unique,Washington,Unique,KNDJX3AE3H,King,Renton,98057,2017,9,Kia,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,37,349491180,114.32466,4.17756,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025302
